release_date,movie,genres,vote_count,num_votes,vote_average,popularity,average_rating,domestic_box_office,production_budget,rio_percentage,opening_weekend_box_office,multiplier,max_theatre_count,distributor,primary_name,primary_profession
2010-03-26,how to train your dragon,"action,adventure,animation",7610,611299,7.7,28.7,8.1,217581232,165000000,131,43732319,5.0,4060,Paramount…,William Davies,"writer,producer,miscellaneous"
2010-05-07,iron man 2,"action,adventure,sci-fi",12368,657690,6.8,28.5,7.0,312433331,170000000,183,128122480,2.4,4390,Paramount…,Jack Kirby,"writer,animation_department,miscellaneous"
2010-07-16,inception,"action,adventure,sci-fi",22186,1841066,8.3,27.9,8.8,292576195,160000000,182,62785337,4.7,3792,Warner Bros.,Christopher Nolan,"writer,producer,director"
2010-02-11,percy jackson  the olympians the lightning thief,"adventure,family,fantasy",4229,165108,6.1,26.7,5.9,88768303,95000000,93,31236067,2.8,3396,20th Cent…,Craig Titley,"producer,writer,miscellaneous"
2010-06-17,toy story 3,"adventure,animation,comedy",8340,682218,7.7,24.4,8.3,415004880,200000000,207,110307189,3.8,4028,Walt Disney,Andrew Stanton,"writer,actor,producer"
2010-07-09,despicable me,"animation,comedy,family",10057,464511,7.2,23.7,7.7,251513985,69000000,364,56397125,4.5,3602,Universal,Ken Daurio,"writer,director,producer"
2010-11-04,megamind,"action,animation,comedy",3635,207488,6.8,22.9,7.3,148415853,130000000,114,46016833,3.2,3949,Paramount…,Alan Schoolcraft,"writer,miscellaneous"
2010-03-05,alice in wonderland,"adventure,family,fantasy",8713,358813,6.6,22.0,6.5,334191110,200000000,167,116101023,2.9,3739,Walt Disney,Lewis Carroll,"writer,soundtrack,miscellaneous"
2010-01-01,alice in wonderland,"adventure,family,fantasy",1,358813,6.0,0.6,6.5,334191110,200000000,167,116101023,2.9,3739,Walt Disney,Lewis Carroll,"writer,soundtrack,miscellaneous"
2010-08-03,the expendables,"action,adventure,thriller",4647,307897,6.1,21.5,6.5,103068524,82000000,125,34825135,3.0,3398,Lionsgate,Sylvester Stallone,"actor,writer,producer"
2010-11-24,tangled,"adventure,animation,comedy",6407,366366,7.5,21.5,7.8,200821936,260000000,77,48767052,4.1,3603,Walt Disney,Jacob Grimm,writer
2010-06-23,the twilight saga eclipse,"adventure,drama,fantasy",4909,211733,6.0,20.3,5.0,300531751,68000000,441,64832191,4.6,4468,Summit En…,Melissa Rosenberg,"producer,writer,miscellaneous"
2010-01-11,the book of eli,"action,adventure,drama",3495,271307,6.7,19.0,6.9,94835059,80000000,118,32789494,2.9,3111,Warner Bros.,Gary Whitta,"writer,producer,actor"
