movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
alice in wonderland,"adventure,family,fantasy",100,334191110,200000000,6.25,179407.0,Lewis Carroll,"writer,soundtrack,miscellaneous",2010-01-01 00:00:00,2010,108.0,Walt Disney,"3,739"
ca$h,"crime,thriller",0,46488,7000000,5.9,4358.0,Stephen Milburn Anderson,"producer,writer,production_manager",2010-01-01 00:00:00,2010,108.0,Roadside …,43
8: the mormon proposition,documentary,0,100280,2500000,6.6,600.0,Reed Cowan,"producer,director,writer",2010-01-01 00:00:00,2010,80.0,Red Flag …,16
the gift,documentary,800,43787265,5000000,8.3,23.0,Dave Hagen,"editor,animation_department,producer",2010-01-01 00:00:00,2010,105.0,STX Enter…,"2,503"
your highness,"adventure,comedy,fantasy",0,21596445,50000000,4.25,46472.0,Ben Best,"writer,actor,producer",2010-01-01 00:00:00,2011,102.0,Universal,"2,772"
leap year,"comedy,romance",100,25918920,19000000,6.6,43557.0,Harry Elfont,"writer,producer,miscellaneous",2010-01-08 00:00:00,2010,100.0,Universal,"2,512"
the book of eli,"action,adventure,drama",100,94835059,80000000,6.800000000000001,137401.0,Gary Whitta,"writer,producer,actor",2010-01-11 00:00:00,2010,118.0,Warner Bros.,"3,111"
the spy next door,"action,comedy,family",0,24307106,28000000,5.6,18708.0,James Greer,"writer,director,cinematographer",2010-01-15 00:00:00,2010,94.0,Lionsgate,"2,924"
brave,"adventure,animation,comedy",100,237282182,185000000,6.05,169364.0,Mark Andrews,"art_department,writer,miscellaneous",2010-01-19 00:00:00,2012,93.0,Walt Disney,"4,164"
extraordinary measures,drama,0,12482741,31000000,6.4,7913.0,Robert Nelson Jacobs,"writer,soundtrack,miscellaneous",2010-01-21 00:00:00,2010,106.0,CBS Films,"2,549"
tooth fairy,"comedy,family,fantasy",100,60022256,48000000,5.15,19498.0,Lowell Ganz,"writer,producer,miscellaneous",2010-01-22 00:00:00,2010,101.0,20th Cent…,"3,345"
legion,"action,fantasy,horror",100,40168080,26000000,5.25,46931.0,Peter Schink,"writer,editor,editorial_department",2010-01-22 00:00:00,2010,100.0,Sony Pict…,"2,476"
hesher,"comedy,crime,drama",0,382946,7000000,7.0,24409.0,Spencer Susser,"editor,director,writer",2010-01-22 00:00:00,2010,106.0,Wrekin Hi…,42
please give,"comedy,drama",100,4033574,3000000,6.449999999999999,5366.0,Nicole Holofcener,"director,writer,actress",2010-01-22 00:00:00,2010,87.0,Sony Pict…,272
3 backyards,drama,0,39475,300000,4.65,308.0,Eric Mendelsohn,"writer,costume_department,producer",2010-01-24 00:00:00,2010,88.0,Screen Me…,2
edge of darkness,"crime,drama,mystery",0,43313890,60000000,6.449999999999999,42773.0,Andrew Bovell,"writer,miscellaneous,producer",2010-01-29 00:00:00,2010,117.0,Warner Bros.,"3,066"
blood done sign my name,drama,0,109383,10000000,6.3,249.0,Jeb Stuart,"writer,producer,director",2010-02-01 00:00:00,2010,128.0,Paladin,95
get out,"horror,mystery,thriller",3500,176040665,5000000,6.6,200241.0,Jordan Peele,"actor,writer,producer",2010-02-01 00:00:00,2017,104.0,Universal,"3,143"
dear john,"drama,romance,war",300,80014842,25000000,6.55,65666.0,Nicholas Sparks,"writer,producer",2010-02-04 00:00:00,2010,108.0,Sony Pict…,"3,062"
frozen,"adventure,drama,sport",200,400738009,150000000,6.0,31649.0,Adam Green,"writer,producer,director",2010-02-05 00:00:00,2010,93.0,Walt Disney,"3,742"
heist,action,0,50136,8900000,5.7,3.0,K.W. Jones,"writer,director,cinematographer",2010-02-09 00:00:00,2015,47.0,Lionsgate,24
the lazarus effect,"horror,mystery,sci-fi",500,25801570,5000000,5.0,18839.0,Luke Dawson,"writer,actor,producer",2010-02-09 00:00:00,2015,83.0,Lionsgate,"2,666"
percy jackson & the olympians: the lightning thief,"adventure,family,fantasy",0,88768303,95000000,6.0,84668.0,Craig Titley,"producer,writer,miscellaneous",2010-02-11 00:00:00,2010,118.0,20th Cent…,"3,396"
valentine's day,"comedy,romance",200,110485654,52000000,5.75,54539.0,Katherine Fugate,"writer,producer,director",2010-02-11 00:00:00,2010,125.0,Warner Bros.,"3,665"
the wolfman,"drama,fantasy,horror",0,62189884,150000000,5.75,49441.0,Andrew Kevin Walker,"writer,actor,miscellaneous",2010-02-12 00:00:00,2010,103.0,Universal,"3,223"
the ghost writer,"drama,mystery,thriller",0,15541549,45000000,7.0,74704.0,Roman Polanski,"actor,director,writer",2010-02-12 00:00:00,2010,128.0,Summit En…,819
shutter island,"mystery,thriller",100,128012934,80000000,8.1,509292.0,Laeta Kalogridis,"writer,producer,miscellaneous",2010-02-18 00:00:00,2010,138.0,Paramount…,"3,356"
the crazies,"horror,thriller",200,39123589,19000000,6.35,52750.0,George A. Romero,"producer,writer,director",2010-02-26 00:00:00,2010,101.0,Overture …,"2,479"
cop out,"action,comedy,crime",100,44875481,37000000,5.5,41226.0,Mark Cullen,"writer,producer,director",2010-02-26 00:00:00,2010,107.0,Warner Bros.,"3,150"
green zone,"action,drama,thriller",0,35497337,100000000,6.6,61654.0,Brian Helgeland,"writer,director,producer",2010-03-11 00:00:00,2010,115.0,Universal,"3,004"
remember me,"drama,romance",100,19068240,16000000,7.1,65761.0,Will Fetters,"writer,producer",2010-03-12 00:00:00,2010,113.0,Summit En…,"2,215"
she's out of my league,"comedy,romance",100,32010860,20000000,6.25,59107.0,Sean Anders,"writer,director,producer",2010-03-12 00:00:00,2010,104.0,Paramount…,"2,958"
our family wedding,"comedy,romance",100,20255281,14000000,5.2,3237.0,Wayne Conley,"producer,writer",2010-03-12 00:00:00,2010,103.0,Fox Searc…,"1,609"
repo men,"action,crime,sci-fi",0,13942007,32000000,6.25,48560.0,Garrett Lerner,"producer,writer,miscellaneous",2010-03-19 00:00:00,2010,111.0,Universal,"2,521"
diary of a wimpy kid,"comedy,drama,family",400,64003625,15000000,6.1,19688.0,Gabe Sachs,"writer,producer,director",2010-03-19 00:00:00,2010,94.0,20th Cent…,"3,083"
the bounty hunter,"action,comedy,romance",100,67061228,45000000,5.65,57035.0,Sarah Thorp,"producer,writer,director",2010-03-19 00:00:00,2010,110.0,Sony Pict…,"3,118"
the runaways,"biography,drama,music",0,3573673,9500000,6.5,22120.0,Cherie Currie,"actress,soundtrack,writer",2010-03-19 00:00:00,2010,106.0,Apparition,244
how to train your dragon,"action,adventure,animation",100,217581232,165000000,7.9,309454.0,William Davies,"writer,producer,miscellaneous",2010-03-26 00:00:00,2010,98.0,Paramount…,"4,060"
hot tub time machine,"comedy,sci-fi",100,50269859,36000000,6.2,77672.0,Josh Heald,"writer,producer,actor",2010-03-26 00:00:00,2010,101.0,MGM,"2,771"
the last song,"drama,music,romance",300,62950384,20000000,6.6,38556.0,Nicholas Sparks,"writer,producer",2010-03-31 00:00:00,2010,107.0,Walt Disney,"2,794"
pixels,"action,comedy,sci-fi",0,78765986,90000000,6.35,59912.0,Timothy Dowling,"actor,writer,miscellaneous",2010-04-01 00:00:00,2015,105.0,Sony Pict…,"3,723"
clash of the titans,"action,adventure,fantasy",100,163214888,125000000,5.75,129945.0,Phil Hay,"writer,producer,actor",2010-04-02 00:00:00,2010,106.0,Warner Bros.,"3,802"
furry vengeance,"comedy,family",0,17630465,35000000,4.199999999999999,7491.0,Josh Gilbert,"miscellaneous,actor,writer",2010-04-02 00:00:00,2010,92.0,Summit En…,"3,002"
why did i get married too?,"comedy,drama,romance",300,60095852,20000000,5.25,4351.0,Tyler Perry,"writer,director,producer",2010-04-02 00:00:00,2010,121.0,Lionsgate,"2,155"
date night,"comedy,crime,romance",100,98711404,55000000,6.15,73213.0,Josh Klausner,"writer,assistant_director,director",2010-04-08 00:00:00,2010,88.0,20th Cent…,"3,380"
letters to god,"drama,family",0,2848587,3000000,6.6,2257.0,Art D'Alessandro,"writer,producer,actor",2010-04-09 00:00:00,2010,110.0,Vivendi E…,897
death at a funeral,comedy,200,42739347,21000000,5.7,21240.0,Dean Craig,"writer,producer,director",2010-04-15 00:00:00,2010,92.0,Sony Pict…,"2,459"
kick-ass,"action,comedy",100,48071303,28000000,7.35,252451.0,Matthew Vaughn,"producer,writer,director",2010-04-16 00:00:00,2010,117.0,Lionsgate,"3,065"
the joneses,"comedy,drama",0,1475746,10000000,6.550000000000001,199.0,Chris Tyrrell,"writer,producer,director",2010-04-16 00:00:00,2011,117.0,Roadside …,217
the raven,"crime,mystery,thriller",0,16008272,26000000,6.15,39791.0,Ben Livingston,"actor,writer,art_department",2010-04-20 00:00:00,2012,110.0,Relativity,"2,209"
the back-up plan,"comedy,romance",100,37490007,35000000,5.7,23467.0,Kate Angelo,"producer,writer,miscellaneous",2010-04-23 00:00:00,2010,104.0,CBS Films,"3,280"
the losers,"action,adventure,crime",0,23591432,25000000,6.300000000000001,42360.0,Peter Berg,"producer,actor,writer",2010-04-23 00:00:00,2010,97.0,Warner Bros.,"2,936"
a nightmare on elm street,"crime,drama,horror",100,63075011,35000000,5.35,43452.0,Wes Craven,"writer,producer,director",2010-04-30 00:00:00,2010,95.0,Warner Bros.,"3,332"
charlie st. cloud,"drama,fantasy,romance",0,31206263,44000000,6.7,28207.0,Lewis Colick,writer,2010-05-01 00:00:00,2010,99.0,Universal,"2,725"
iron man 2,"action,adventure,sci-fi",100,312433331,170000000,6.9,335029.0,Jack Kirby,"writer,animation_department,miscellaneous",2010-05-07 00:00:00,2010,124.0,Paramount…,"4,390"
robin hood,"action,adventure,drama",0,105487148,210000000,6.449999999999999,121024.0,Brian Helgeland,"writer,director,producer",2010-05-14 00:00:00,2010,140.0,Lionsgate,"2,939"
letters to juliet,"adventure,comedy,drama",100,53032453,30000000,6.75,43921.0,Tim Sullivan,"director,writer,miscellaneous",2010-05-14 00:00:00,2010,105.0,Summit En…,"2,975"
just wright,"comedy,romance,sport",100,21540363,12000000,6.050000000000001,6338.0,Michael Elliot,"writer,producer",2010-05-14 00:00:00,2010,100.0,Fox Searc…,"1,831"
shrek forever after,"adventure,animation,comedy",100,238736787,165000000,6.199999999999999,85687.0,Andrew Adamson,"producer,writer,director",2010-05-16 00:00:00,2010,93.0,Paramount…,"4,386"
macgruber,"action,comedy,romance",0,8525600,10000000,5.4,20026.0,Will Forte,"actor,writer,producer",2010-05-21 00:00:00,2010,90.0,Universal,"2,551"
you will meet a tall dark stranger,"comedy,drama,romance",0,3247816,15000000,6.05,21019.0,Woody Allen,"writer,director,actor",2010-05-23 00:00:00,2010,98.0,Sony Pict…,402
sex and the city 2,"comedy,drama,romance",100,95347692,95000000,5.15,35004.0,Candace Bushnell,"writer,producer",2010-05-27 00:00:00,2010,146.0,Warner Bros.,"3,445"
high school,comedy,0,139034,10000000,5.8,3564.0,Stephen Susco,"writer,producer,director",2010-06-03 00:00:00,2010,99.0,Anchor Ba…,200
killers,"action,comedy,romance",0,47059963,75000000,5.6,41775.0,Bob DeRosa,"writer,miscellaneous,producer",2010-06-04 00:00:00,2010,100.0,Lionsgate,"2,859"
marmaduke,"comedy,family",0,33644788,50000000,4.65,6825.0,Vince Di Meglio,"visual_effects,writer,editor",2010-06-04 00:00:00,2010,87.0,20th Cent…,"3,213"
get him to the greek,"adventure,comedy,music",100,61153526,40000000,6.15,81316.0,Jason Segel,"actor,soundtrack,writer",2010-06-04 00:00:00,2010,109.0,Universal,"2,702"
the karate kid,"action,drama,family",400,176591618,40000000,6.25,74770.0,Robert Mark Kamen,"writer,producer,miscellaneous",2010-06-10 00:00:00,2010,140.0,Sony Pict…,"3,740"
the a-team,"action,adventure,thriller",0,77222099,110000000,6.55,118979.0,Stephen J. Cannell,"writer,producer,actor",2010-06-11 00:00:00,2010,117.0,20th Cent…,"3,544"
toy story 3,"adventure,animation,comedy",200,415004880,200000000,8.0,345279.0,Andrew Stanton,"writer,actor,producer",2010-06-17 00:00:00,2010,103.0,Walt Disney,"4,028"
jonah hex,"action,drama,fantasy",0,10547117,47000000,4.65,26284.0,Mark Neveldine,"actor,director,writer",2010-06-18 00:00:00,2010,81.0,Warner Bros.,"2,825"
cyrus,"crime,horror,mystery",100,7468936,7000000,5.35,572.0,Mark Vadik,"writer,producer,director",2010-06-18 00:00:00,2010,87.0,Fox Searc…,454
the twilight saga: eclipse,"adventure,drama,fantasy",400,300531751,68000000,5.5,108321.0,Melissa Rosenberg,"producer,writer,miscellaneous",2010-06-23 00:00:00,2010,124.0,Summit En…,"4,468"
knight and day,"action,adventure,comedy",0,76423035,117000000,6.15,86167.0,Patrick O'Neill,"writer,producer,actor",2010-06-23 00:00:00,2010,109.0,20th Cent…,"3,104"
grown ups,comedy,200,162001186,75000000,6.05,106774.0,Adam Sandler,"actor,producer,writer",2010-06-24 00:00:00,2010,102.0,Sony Pict…,"3,534"
love ranch,"biography,comedy,drama",0,137885,25000000,5.85,1385.0,Mark Jacobson,"writer,producer",2010-06-30 00:00:00,2010,117.0,No Distributor,11
the last airbender,"action,adventure,family",0,131772187,150000000,4.35,69938.0,M. Night Shyamalan,"producer,writer,director",2010-07-01 00:00:00,2010,103.0,Paramount…,"3,203"
the perfect host,"comedy,crime,thriller",0,48764,1000000,6.55,11797.0,Nick Tomnay,"director,editor,writer",2010-07-01 00:00:00,2010,93.0,Magnolia …,10
predators,"action,adventure,sci-fi",100,52000688,40000000,6.25,100871.0,Alex Litvak,"writer,actor,editor",2010-07-03 00:00:00,2010,107.0,20th Cent…,"2,669"
i want your money,documentary,100,433588,400000,4.65,624.0,Evan Sayet,"actor,writer,producer",2010-07-06 00:00:00,2010,92.0,Freestyle…,537
despicable me,"animation,comedy,family",300,251513985,69000000,7.45,237284.0,Ken Daurio,"writer,director,producer",2010-07-09 00:00:00,2010,95.0,Universal,"3,602"
the kids are all right,"comedy,drama,romance",500,20811365,4000000,6.8,60755.0,Stuart Blumberg,"writer,actor,producer",2010-07-09 00:00:00,2010,106.0,Focus Fea…,994
the sorcerer's apprentice,"action,adventure,family",0,63150991,160000000,6.0,73370.0,Carlo Bernard,"writer,producer,miscellaneous",2010-07-13 00:00:00,2010,109.0,Walt Disney,"3,504"
