Unnamed: 0,ReleaseDate,Movie,ProductionBudget,DomesticGross,WorldwideGross,Year
6401,"Dec 1, 2015",Dutch Kills,"$25,000",$0,$0,2015
6405,"Aug 9, 2019",Socrates,"$20,000",$0,$849,2019
6407,"Jan 4, 2013",All Superheroes Must Die,"$20,000",$0,$0,2013
6408,"Apr 21, 2015",The Front Man,"$20,000",$0,$0,2015
6409,"Nov 25, 2011",The Ridges,"$17,300",$0,$0,2011
6410,"Jan 13, 2023",Skinamarink,"$15,000","$2,052,272","$2,092,787",2023
6412,"Apr 2, 2010",Breaking Upwards,"$15,000","$115,592","$115,592",2010
6423,"May 19, 2015",Family Motocross,"$10,000",$0,$0,2015
6424,"Jan 13, 2012",Newlyweds,"$9,000","$4,584","$4,584",2012
6429,"Mar 1, 2022",Red 11,"$7,000",$0,$0,2022
6432,"Sep 29, 2015",A Plague So Pleasant,"$1,400",$0,$0,2015
6434,"Mar 2, 2021",Neeras,$86,$0,$0,2021
6301,"Dec 2, 2014",Speak No Evil,"$150,000",$0,"$247,345",2014
6303,"May 3, 2013",Aroused,"$150,000",$0,$0,2013
6306,"Apr 27, 2012",Sound of My Voice,"$135,000","$408,015","$429,448",2012
6308,"Jul 18, 2014",An American in Hollywood,"$125,000",$0,$0,2014
6309,"Aug 11, 2015",The Brain That Sings,"$125,000",$0,$0,2015
6311,"Jun 15, 2012",Your Sister's Sister,"$120,000","$1,597,486","$3,090,593",2012
6318,"Jul 9, 2015",The Gallows,"$100,000","$22,764,410","$41,656,474",2015
6324,"Jul 7, 2017",A Ghost Story,"$100,000","$1,594,798","$2,769,782",2017
6327,"Mar 21, 2014",Cheap Thrills,"$100,000","$59,424","$59,424",2014
6328,"Jun 19, 2014",The Past is a Grotesque Animal,"$100,000","$20,056","$20,056",2014
6330,"May 18, 2012",Indie Game: The Movie,"$100,000",$0,$0,2012
6332,"Jun 10, 2014",Echo Dr.,"$100,000",$0,$0,2014
6333,"Mar 17, 2015",Closure,"$100,000",$0,$0,2015
6334,"Aug 29, 2015",Lunch Time Heroes,"$100,000",$0,$0,2015
6335,"Mar 25, 2015",Open Secret,"$100,000",$0,$0,2015
6336,"Nov 10, 2015",The Night Visitor,"$100,000",$0,$0,2015
6337,"Jul 7, 2015",Tiger Orange,"$100,000",$0,$0,2015
6338,"Jul 30, 2021",8 Days to Hell,"$100,000",$0,$0,2021
6342,"Jul 17, 2015",Dawn of the Crescent Moon,"$75,000","$8,799","$8,799",2015
6343,"Sep 29, 2015",Queen Crab,"$75,000",$0,$0,2015
6344,"Jul 25, 2014",Happy Christmas,"$70,000","$30,312","$30,312",2014
6346,"Apr 11, 2013",Absentia,"$70,000",$0,"$8,555",2013
6349,"May 1, 2020",The Wretched,"$66,000","$1,815,440","$4,594,221",2020
6352,"Jan 25, 2013",Supporting Characters,"$60,000","$4,917","$4,917",2013
6353,"Mar 16, 2012",The FP,"$60,000",$0,$0,2012
6354,"Aug 28, 2015",Turbo Kid,"$60,000",$0,$0,2015
6357,"Oct 4, 2013",The Dirties,"$55,000",$0,$0,2013
6360,"Nov 12, 2010",Tiny Furniture,"$50,000","$391,674","$424,149",2010
6362,"Jul 31, 2015",Counting,"$50,000","$8,374","$8,374",2015
6364,"Feb 14, 2014",Down and Dangerous,"$50,000",$0,$0,2014
6366,"Aug 4, 2015",Bending Steel,"$50,000",$0,$0,2015
6367,"Sep 1, 2015","Run, Hide, Die","$50,000",$0,$0,2015
6370,"Oct 25, 2013",A True Story,"$45,000",$0,$0,2013
6372,"Jun 21, 2013",This Is Martin Bonner,"$42,000",$0,$0,2013
6374,"Mar 12, 2010",The Exploding Girl,"$40,000","$25,572","$25,572",2010
6375,"Feb 11, 2011",Raymond Did It,"$40,000","$3,632","$3,632",2011
6376,"Mar 31, 2012",Foreign Letters,"$40,000",$0,$0,2012
6377,"Sep 25, 2018",Terrifier,"$35,000","$339,946","$340,934",2018
6379,"Dec 1, 2020",Host,"$35,000",$0,"$436,536",2020
6380,"Oct 25, 2013",Her Cry: La Llorona Investigation,"$35,000",$0,$0,2013
6382,"Aug 13, 2019",The VelociPastor,"$35,000",$0,$0,2019
6383,"May 3, 2011",Megan is Missing,"$35,000",$0,$0,2011
