year,rank,genre,movies,gross,tickets,share
2023,1,Action,47,"$2,713,081,639 ","257,652,551",36.43%
2023,2,Adventure,24,"$1,455,186,660 ","138,194,353",19.54%
2023,3,Comedy,57,"$1,085,339,861 ","103,071,184",14.58%
2023,4,Drama,124,"$746,957,150 ","70,936,038",10.03%
2023,5,Horror,43,"$710,624,019 ","67,485,643",9.54%
2023,6,Thriller/Suspense,42,"$404,556,467 ","38,419,395",5.43%
2023,7,Concert/Performance,6,"$134,502,097 ","12,773,225",1.81%
2023,8,Black Comedy,6,"$84,504,581 ","8,025,125",1.13%
2023,9,Romantic Comedy,9,"$56,839,741 ","5,397,881",0.76%
2023,10,Western,4,"$24,359,105 ","2,313,303",0.33%
2023,11,Documentary,64,"$22,308,726 ","2,118,559",0.30%
2023,12,Musical,5,"$5,279,831 ","501,406",0.07%
2023,13,Multiple Genres,1,"$3,023,866 ","287,166",0.04%
2023,14,Reality,1,"$5,393 ",512,0.00%
2022,1,Action,54,"$3,958,995,552 ","375,972,969",53.29%
2022,2,Adventure,29,"$1,349,914,284 ","128,196,980",18.17%
2022,3,Horror,39,"$634,295,308 ","60,236,957",8.54%
2022,4,Drama,145,"$616,597,267 ","58,556,183",8.30%
2022,5,Comedy,58,"$321,362,595 ","30,518,738",4.33%
2022,6,Thriller/Suspense,47,"$252,913,392 ","24,018,344",3.40%
2022,7,Romantic Comedy,11,"$105,384,522 ","10,008,022",1.42%
2022,8,Musical,6,"$61,505,843 ","5,841,008",0.83%
2022,9,Reality,1,"$57,743,451 ","5,483,709",0.78%
2022,10,Black Comedy,3,"$44,614,220 ","4,236,867",0.60%
2022,11,Documentary,80,"$15,088,410 ","1,432,867",0.20%
2022,12,Concert/Performance,5,"$9,009,712 ","855,621",0.12%
2022,13,Multiple Genres,3,"$1,849,090 ","175,600",0.02%
2022,14,Western,1,$804 ,76,0.00%
2021,1,Action,46,"$2,299,891,208 ","221,143,373",50.94%
2021,2,Adventure,27,"$776,814,245 ","74,693,671",17.21%
2021,3,Horror,50,"$583,265,852 ","56,083,241",12.92%
2021,4,Comedy,58,"$360,876,255 ","34,699,616",7.99%
2021,5,Drama,120,"$227,842,440 ","21,907,878",5.05%
2021,6,Thriller/Suspense,40,"$140,857,154 ","13,543,944",3.12%
2021,7,Musical,4,"$73,147,684 ","7,033,431",1.62%
2021,8,Documentary,48,"$16,273,466 ","1,564,738",0.36%
2021,9,Concert/Performance,3,"$14,742,812 ","1,417,576",0.33%
2021,10,Black Comedy,2,"$10,097,184 ","970,882",0.22%
2021,11,Western,4,"$9,161,627 ","880,925",0.20%
2021,12,Romantic Comedy,7,"$1,358,954 ","130,666",0.03%
2021,13,Multiple Genres,2,"$455,295 ","43,777",0.01%
2020,1,Adventure,32,"$702,533,509 ","74,658,167",35.36%
2020,2,Action,28,"$429,641,958 ","45,658,005",21.62%
2020,3,Thriller/Suspense,49,"$263,542,875 ","28,006,657",13.26%
2020,4,Drama,125,"$240,480,417 ","25,555,773",12.10%
2020,5,Horror,38,"$200,008,784 ","21,254,903",10.07%
2020,6,Comedy,42,"$75,449,405 ","8,017,980",3.80%
2020,7,Black Comedy,8,"$43,294,447 ","4,600,894",2.18%
2020,8,Musical,6,"$11,277,710 ","1,198,480",0.57%
2020,9,Romantic Comedy,10,"$7,250,057 ","770,460",0.36%
2020,10,Documentary,53,"$4,033,428 ","428,604",0.20%
2020,11,Western,1,"$3,717,170 ","395,023",0.19%
2020,12,Multiple Genres,2,"$3,432,023 ","364,720",0.17%
2020,13,Concert/Performance,4,"$2,056,133 ","218,502",0.10%
2020,14,Educational,1,$260 ,27,0.00%
2019,1,Adventure,47,"$3,824,655,753 ","417,538,823",33.98%
2019,2,Action,55,"$2,897,574,987 ","316,329,127",25.74%
2019,3,Drama,230,"$1,389,785,999 ","151,723,265",12.35%
2019,4,Thriller/Suspense,53,"$1,137,048,097 ","124,131,864",10.10%
2019,5,Horror,41,"$799,026,790 ","87,229,984",7.10%
2019,6,Comedy,60,"$685,226,783 ","74,806,392",6.09%
2019,7,Romantic Comedy,18,"$256,784,468 ","28,033,232",2.28%
2019,8,Black Comedy,11,"$111,631,009 ","12,186,788",0.99%
2019,9,Documentary,138,"$87,570,169 ","9,559,997",0.78%
2019,10,Musical,7,"$56,954,625 ","6,217,751",0.51%
2019,11,Concert/Performance,9,"$4,778,504 ","521,666",0.04%
2019,12,Multiple Genres,2,"$3,545,060 ","387,014",0.03%
2019,13,Western,4,"$2,024,635 ","221,028",0.02%
2018,1,Action,59,"$4,119,690,036 ","452,216,232",34.49%
2018,2,Adventure,52,"$2,988,686,621 ","328,066,570",25.02%
2018,3,Drama,265,"$1,608,625,782 ","176,577,914",13.47%
2018,4,Horror,34,"$851,034,571 ","93,417,615",7.12%
2018,5,Comedy,74,"$813,242,395 ","89,269,172",6.81%
