movie_name,genres,percentage_ROI_gross_budget,gross,budget,opening_weekend_boxoffice,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
alice in wonderland,"adventure,family,fantasy",167.1,334191110.0,200000000.0,116101023.0,6.25,179407.0,Lewis Carroll,"writer,soundtrack,miscellaneous",2010-01-01 00:00:00,2010,108.0,Walt Disney,"3,739"
ca$h,"crime,thriller",0.66,46488.0,7000000.0,16469.0,5.9,4358.0,Stephen Milburn Anderson,"producer,writer,production_manager",2010-01-01 00:00:00,2010,108.0,Roadside …,43
8: the mormon proposition,documentary,4.01,100280.0,2500000.0,42566.0,6.6,600.0,Reed Cowan,"producer,director,writer",2010-01-01 00:00:00,2010,80.0,Red Flag …,16
the gift,documentary,875.75,43787265.0,5000000.0,11854273.0,8.3,23.0,Dave Hagen,"editor,animation_department,producer",2010-01-01 00:00:00,2010,105.0,STX Enter…,"2,503"
your highness,"adventure,comedy,fantasy",43.19,21596445.0,50000000.0,9360020.0,4.25,46472.0,Ben Best,"writer,actor,producer",2010-01-01 00:00:00,2011,102.0,Universal,"2,772"
leap year,"comedy,romance",136.42,25918920.0,19000000.0,9202815.0,6.6,43557.0,Harry Elfont,"writer,producer,miscellaneous",2010-01-08 00:00:00,2010,100.0,Universal,"2,512"
the book of eli,"action,adventure,drama",118.54,94835059.0,80000000.0,32789494.0,6.800000000000001,137401.0,Gary Whitta,"writer,producer,actor",2010-01-11 00:00:00,2010,118.0,Warner Bros.,"3,111"
the spy next door,"action,comedy,family",86.81,24307106.0,28000000.0,9726056.0,5.6,18708.0,James Greer,"writer,director,cinematographer",2010-01-15 00:00:00,2010,94.0,Lionsgate,"2,924"
brave,"adventure,animation,comedy",128.26,237282182.0,185000000.0,66323594.0,6.05,169364.0,Mark Andrews,"art_department,writer,miscellaneous",2010-01-19 00:00:00,2012,93.0,Walt Disney,"4,164"
extraordinary measures,drama,40.27,12482741.0,31000000.0,6012594.0,6.4,7913.0,Robert Nelson Jacobs,"writer,soundtrack,miscellaneous",2010-01-21 00:00:00,2010,106.0,CBS Films,"2,549"
tooth fairy,"comedy,family,fantasy",125.05,60022256.0,48000000.0,14010409.0,5.15,19498.0,Lowell Ganz,"writer,producer,miscellaneous",2010-01-22 00:00:00,2010,101.0,20th Cent…,"3,345"
legion,"action,fantasy,horror",154.49,40168080.0,26000000.0,17501625.0,5.25,46931.0,Peter Schink,"writer,editor,editorial_department",2010-01-22 00:00:00,2010,100.0,Sony Pict…,"2,476"
hesher,"comedy,crime,drama",5.47,382946.0,7000000.0,126046.0,7.0,24409.0,Spencer Susser,"editor,director,writer",2010-01-22 00:00:00,2010,106.0,Wrekin Hi…,42
please give,"comedy,drama",134.45,4033574.0,3000000.0,118123.0,6.449999999999999,5366.0,Nicole Holofcener,"director,writer,actress",2010-01-22 00:00:00,2010,87.0,Sony Pict…,272
3 backyards,drama,13.16,39475.0,300000.0,11332.0,4.65,308.0,Eric Mendelsohn,"writer,costume_department,producer",2010-01-24 00:00:00,2010,88.0,Screen Me…,2
edge of darkness,"crime,drama,mystery",72.19,43313890.0,60000000.0,17214384.0,6.449999999999999,42773.0,Andrew Bovell,"writer,miscellaneous,producer",2010-01-29 00:00:00,2010,117.0,Warner Bros.,"3,066"
blood done sign my name,drama,1.09,109383.0,10000000.0,82739.0,6.3,249.0,Jeb Stuart,"writer,producer,director",2010-02-01 00:00:00,2010,128.0,Paladin,95
get out,"horror,mystery,thriller",3520.81,176040665.0,5000000.0,33377060.0,6.6,200241.0,Jordan Peele,"actor,writer,producer",2010-02-01 00:00:00,2017,104.0,Universal,"3,143"
dear john,"drama,romance,war",320.06,80014842.0,25000000.0,30468614.0,6.55,65666.0,Nicholas Sparks,"writer,producer",2010-02-04 00:00:00,2010,108.0,Sony Pict…,"3,062"
frozen,"adventure,drama,sport",267.16,400738009.0,150000000.0,243390.0,6.0,31649.0,Adam Green,"writer,producer,director",2010-02-05 00:00:00,2010,93.0,Walt Disney,"3,742"
heist,action,0.56,50136.0,8900000.0,28688.0,5.7,3.0,K.W. Jones,"writer,director,cinematographer",2010-02-09 00:00:00,2015,47.0,Lionsgate,24
the lazarus effect,"horror,mystery,sci-fi",516.03,25801570.0,5000000.0,10203437.0,5.0,18839.0,Luke Dawson,"writer,actor,producer",2010-02-09 00:00:00,2015,83.0,Lionsgate,"2,666"
percy jackson & the olympians: the lightning thief,"adventure,family,fantasy",93.44,88768303.0,95000000.0,31236067.0,6.0,84668.0,Craig Titley,"producer,writer,miscellaneous",2010-02-11 00:00:00,2010,118.0,20th Cent…,"3,396"
valentine's day,"comedy,romance",212.47,110485654.0,52000000.0,56260707.0,5.75,54539.0,Katherine Fugate,"writer,producer,director",2010-02-11 00:00:00,2010,125.0,Warner Bros.,"3,665"
the wolfman,"drama,fantasy,horror",41.46,62189884.0,150000000.0,31479235.0,5.75,49441.0,Andrew Kevin Walker,"writer,actor,miscellaneous",2010-02-12 00:00:00,2010,103.0,Universal,"3,223"
the ghost writer,"drama,mystery,thriller",34.54,15541549.0,45000000.0,183009.0,7.0,74704.0,Roman Polanski,"actor,director,writer",2010-02-12 00:00:00,2010,128.0,Summit En…,819
shutter island,"mystery,thriller",160.02,128012934.0,80000000.0,41062440.0,8.1,509292.0,Laeta Kalogridis,"writer,producer,miscellaneous",2010-02-18 00:00:00,2010,138.0,Paramount…,"3,356"
the crazies,"horror,thriller",205.91,39123589.0,19000000.0,16067552.0,6.35,52750.0,George A. Romero,"producer,writer,director",2010-02-26 00:00:00,2010,101.0,Overture …,"2,479"
cop out,"action,comedy,crime",121.29,44875481.0,37000000.0,18211126.0,5.5,41226.0,Mark Cullen,"writer,producer,director",2010-02-26 00:00:00,2010,107.0,Warner Bros.,"3,150"
green zone,"action,drama,thriller",35.5,35497337.0,100000000.0,14309295.0,6.6,61654.0,Brian Helgeland,"writer,director,producer",2010-03-11 00:00:00,2010,115.0,Universal,"3,004"
remember me,"drama,romance",119.18,19068240.0,16000000.0,8089139.0,7.1,65761.0,Will Fetters,"writer,producer",2010-03-12 00:00:00,2010,113.0,Summit En…,"2,215"
